create_time,bid,bn,campaign_id,cd,custom_track,de,dl,dt,ed,ev,group_id,id,job_id,md,publisher_id,rl,sr,ts,tz,ua,uid,utm_campaign,utm_content,utm_medium,utm_source,utm_term,v,vp
5af328a0-0d60-11ed-90e9-7cd44fe229db,1,Chrome 103,48,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,,1,34,,188,TRUE,1,,1366x768,58:22.5,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
d6b1f400-0188-11ed-b23e-8dfcae6c0dfd,,Chrome 103,,24,click,UTF-8,http://150.136.2.86/candidate-portal/job,CandidatePortal,"{""customEvent"":""click"",""jobId"":81,""publisherId"":0,""userId"":116}",2,,,,TRUE,,,1920x1080,17:54.5,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-0d5ciljy-l4pdlaxd,,,,,,1,1455x929
9c1b1660-0191-11ed-8872-72e1f40ca1d2,,Chrome 103,,24,click,UTF-8,http://localhost:4200/candidate-portal/job,CandidatePortal,"{""customEvent"":""click"",""jobId"":192,""publisherId"":0,""userId"":123}",2,,,,TRUE,,http://localhost:4200/candidate-portal/job,1920x1080,20:41.3,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-rrc3k5vd-l4o0b4yy,,,,,,1,1367x929
38455980-0c1c-11ed-9604-2837d6f241c5,,Chrome 103,,24,,UTF-8,http://fe.stag.gotoro.io/candidate-portal/confirm-interview?calendarId=30&availableId=89&jobId=384&publisherIds=,CandidatePortal,,1,,,,TRUE,,,1920x1080,18:05.7,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-7sdmvw7b-l60r3ocj,,,,,,1,1920x947
855c7090-0a51-11ed-84f7-2d4940c4b8bc,,Safari 604,,32,,UTF-8,http://fe.test.gotoro.io/candidate-portal/job?what=developer&where=,CandidatePortal,,1,,,,TRUE,,,375x812,34:35.9,-420,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/103.0.5060.63 Mobile/15E148 Safari/604.1",1-m7pas2e6-l5xilolj,,,,,,1,375x640
f8a490d0-0c8d-11ed-b4ec-79f84cfb31c1,0,Chrome 103,222,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/601800a53111c9bfeef6bd826664a0bff0958d79?param1=1527&param2=1,CandidatePortal,,1,,,1527,TRUE,1,,1366x768,52:22.9,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-t8bqaiy4-l61kszmf,,,,,,1,1366x625
780e8470-0b2b-11ed-b52c-55e0e4add5f1,,Chrome 103,,24,,UTF-8,http://150.136.2.86/candidate-portal/messages,CandidatePortal,,1,,,,TRUE,,,1366x768,34:44.3,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-m8tpkuds-l4oxward,,,,,,1,1707x781
26eb3150-0d61-11ed-9fd0-70c372b40ff7,1,Chrome 103,48,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/52fe1ea5de8f95daf32f506315eaf022fec89350?param1=187&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""187"",""publisherId"":""1""}",2,34,,187,TRUE,1,,1366x768,04:04.4,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
e460b5a0-0d63-11ed-a06d-1ce2883132bb,0,Chrome 103,222,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/2002f89476e56ae92bfede9a4b96a25753e706dc?param1=1534&param2=1,CandidatePortal,,1,,,1534,TRUE,1,,1366x768,23:41.5,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-5bqarbwn-l633cyss,,,,,,1,1366x625
76056ab0-0caf-11ed-94a5-f26d35d337e7,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/336?jobId=336&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""336"",""publisherId"":""1"",""stayed_alive"":10}",2,,,,TRUE,,,1366x768,52:07.4,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1,1366x625
97a69700-0c8e-11ed-9b8f-6e74c2d1a15b,0,Chrome 103,222,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/67efdcf3279f30f33602423a263eba092c7a94f8?param1=1529&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1529"",""publisherId"":""1""}",2,,,1529,TRUE,1,,1366x768,56:49.7,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-t8bqaiy4-l61kszmf,,,,,,1,1366x625
29164d40-0422-11ed-8682-fd972399e4e6,,Chrome 102,,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/,CandidatePortal,,1,,,,TRUE,,,1920x1080,40:27.9,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-t4tqlljw-l5m9ph44,,,,,,1,1072x976
