id,created_by,created_date,last_modified_by,last_modified_date,is_active,campaign_name,budget_total,unit_budget,start_date,end_date,close_date,campaign_status,background_status,pacing_unit,company_id,number_of_pacing,recommend_budget,import_xml_url,bid_set,ats_type,ats_data
1,admin,3/15/2022 1:40,user1141,7/27/2022 14:52,1,Campaign 121,1002930129,USD,4/26/2022 10:14,12/26/2022 10:14,12/26/2022 10:14,1,1,Daily,1,0,0,https://raw.githubusercontent.com/fantruyent/job/main/job3,,,
2,admin,3/15/2022 2:08,admin,14:37.4,1,drrrrrraft,31710,$,4/26/2022 10:14,12/26/2022 10:14,12/26/2022 10:14,0,,daily,1,0,193257,,,,
3,admin,3/15/2022 5:16,admin,14:38.0,1,2233,220,$,4/26/2022 10:14,12/26/2022 10:14,12/26/2022 10:14,0,,daily,1,0,193257,,,,
4,admin,3/16/2022 4:03,admin,7/15/2022 2:49,1,Campaign draft,1932570,USD,4/26/2022 17:14,12/26/2022 17:14,12/26/2022 10:14,1,1,daily,1,3,0,,,,
5,admin,3/16/2022 7:46,myuser,7/26/2022 18:45,1,Trung Thu3,193000,USD,4/27/2022 1:43,4/28/2022 1:43,,1,1,Daily,1,5,0,,,,
6,admin,3/17/2022 2:56,myuser,7/26/2022 3:51,1,Campaign 3-copy,193257,USD,4/27/2022 1:43,4/28/2022 1:43,,1,,Daily,1,0,0,,,,
7,admin,3/17/2022 17:26,myuser,7/26/2022 9:28,1,Campaign draft 123,14910,USD,4/27/2022 1:16,4/28/2022 1:16,,1,,Daily,1,0,,,,,
8,admin,3/17/2022 17:27,admin,7/22/2022 20:15,1,Tet 012,19600,USD,4/27/2022 1:55,4/28/2022 1:55,,1,1,Daily,1,0,,https://raw.githubusercontent.com/vansuphan/react-app/master/import-xml-admin.xml,,,
9,admin,3/17/2022 17:28,admin,7/24/2022 6:26,1,Test 123,25000,USD,4/27/2022 2:04,4/28/2022 2:04,,1,,Daily,1,0,0,https://raw.githubusercontent.com/NguyenVanLinh1709/xml-key/main/job4.xml,,,
10,admin,3/17/2022 17:43,client1,5/22/2022 10:57,1,Mua he xanh,47180,USD,4/27/2022 2:50,4/28/2022 2:50,,1,,Daily,1,0,,,,,
